-----REACTION-SOLUTIONS-----
Condition-1
Node    |    F_X(t)  |    F_Y(t)  |    F_Z(t)  |    M_X(t.m)|    M_Y(t.m)|    M_Z(t.m)
    501.|       10.79|      219.24|       64.96|        0.00|        0.00|        0.00
    603.|       -8.73|      207.15|       65.93|        0.00|        0.00|        0.00
    275.|        1.36|       -2.63|        0.09|        0.00|        0.00|        0.00
    199.|       -3.43|      -12.79|        0.31|        0.00|        0.00|        0.00
    100.|        0.88|     -131.68|      160.30|        0.00|        0.00|        0.00
      1.|       -0.88|     -130.29|      158.65|        0.00|        0.00|        0.00
    150.|       -2.96|        0.00|        0.00|        0.00|        0.00|        0.00
    120.|      -13.24|        0.00|        0.00|        0.00|        0.00|        0.00
     80.|     -206.60|        0.00|        0.00|        0.00|        0.00|        0.00
     30.|     -204.47|        0.00|        0.00|        0.00|        0.00|        0.00
  10001.|        8.64|        0.00|        0.00|        0.00|        0.00|        0.00
  10002.|       -7.19|        0.00|        0.00|        0.00|        0.00|        0.00
  10003.|        1.31|        0.00|        0.00|        0.00|        0.00|        0.00
  10004.|       -2.92|        0.00|        0.00|        0.00|        0.00|        0.00
  10005.|        0.88|        0.00|        0.00|        0.00|        0.00|        0.00
  10006.|      -12.02|        0.00|        0.00|        0.00|        0.00|        0.00
  10007.|      142.90|        0.00|        0.00|        0.00|        0.00|        0.00
  10008.|        0.00|        0.00|        0.00|        0.00|        0.00|        0.00
  10009.|      125.30|        0.00|        0.00|        0.00|        0.00|        0.00
  10010.|       45.76|        0.00|        0.00|        0.00|        0.00|        0.00
  10011.|       24.07|        0.00|        0.00|        0.00|        0.00|        0.00
  10012.|        0.02|        0.00|        0.00|        0.00|        0.00|        0.00
Condition-2
Node    |    F_X(t)  |    F_Y(t)  |    F_Z(t)  |    M_X(t.m)|    M_Y(t.m)|    M_Z(t.m)
    501.|       -3.93|      111.88|       64.16|        0.00|        0.00|        0.00
    603.|      -28.87|      256.45|       67.00|        0.00|        0.00|        0.00
    275.|      -47.45|       89.82|       -0.09|        0.00|        0.00|        0.00
    199.|      -24.93|      -90.83|        0.23|        0.00|        0.00|        0.00
    100.|        1.08|     -132.30|      161.09|        0.00|        0.00|        0.00
      1.|       -1.27|     -129.64|      157.84|        0.00|        0.00|        0.00
    150.|      101.58|        0.00|        0.00|        0.00|        0.00|        0.00
    120.|      -94.19|        0.00|        0.00|        0.00|        0.00|        0.00
     80.|     -207.61|        0.00|        0.00|        0.00|        0.00|        0.00
     30.|     -203.44|        0.00|        0.00|        0.00|        0.00|        0.00
  10001.|       16.11|        0.00|        0.00|        0.00|        0.00|        0.00
  10002.|       -5.57|        0.00|        0.00|        0.00|        0.00|        0.00
  10003.|        1.90|        0.00|        0.00|        0.00|        0.00|        0.00
  10004.|       -2.72|        0.00|        0.00|        0.00|        0.00|        0.00
  10005.|        1.15|        0.00|        0.00|        0.00|        0.00|        0.00
  10006.|      -13.67|        0.00|        0.00|        0.00|        0.00|        0.00
  10007.|      187.73|        0.00|        0.00|        0.00|        0.00|        0.00
  10008.|        0.00|        0.00|        0.00|        0.00|        0.00|        0.00
  10009.|      141.21|        0.00|        0.00|        0.00|        0.00|        0.00
  10010.|       27.97|        0.00|        0.00|        0.00|        0.00|        0.00
  10011.|       91.77|        0.00|        0.00|        0.00|        0.00|        0.00
  10012.|       27.56|        0.00|        0.00|        0.00|        0.00|        0.00
Condition-3
Node    |    F_X(t)  |    F_Y(t)  |    F_Z(t)  |    M_X(t.m)|    M_Y(t.m)|    M_Z(t.m)
    501.|       -8.97|       26.40|       63.79|        0.00|        0.00|        0.00
    603.|      -38.32|      237.81|       67.43|        0.00|        0.00|        0.00
    275.|      -66.29|      125.56|       -0.15|        0.00|        0.00|        0.00
    199.|      -35.15|     -127.83|        0.21|        0.00|        0.00|        0.00
    100.|        1.19|     -132.57|      161.44|        0.00|        0.00|        0.00
      1.|       -1.45|     -129.37|      157.51|        0.00|        0.00|        0.00
    150.|      141.98|        0.00|        0.00|        0.00|        0.00|        0.00
    120.|     -132.57|        0.00|        0.00|        0.00|        0.00|        0.00
     80.|     -208.05|        0.00|        0.00|        0.00|        0.00|        0.00
     30.|     -203.01|        0.00|        0.00|        0.00|        0.00|        0.00
  10001.|       19.38|        0.00|        0.00|        0.00|        0.00|        0.00
  10002.|       -5.10|        0.00|        0.00|        0.00|        0.00|        0.00
  10003.|        2.12|        0.00|        0.00|        0.00|        0.00|        0.00
  10004.|       -2.51|        0.00|        0.00|        0.00|        0.00|        0.00
  10005.|        1.24|        0.00|        0.00|        0.00|        0.00|        0.00
  10006.|      -14.14|        0.00|        0.00|        0.00|        0.00|        0.00
  10007.|      210.56|        0.00|        0.00|        0.00|        0.00|        0.00
  10008.|        0.00|        0.00|        0.00|        0.00|        0.00|        0.00
  10009.|      149.20|        0.00|        0.00|        0.00|        0.00|        0.00
  10010.|       19.62|        0.00|        0.00|        0.00|        0.00|        0.00
  10011.|      118.98|        0.00|        0.00|        0.00|        0.00|        0.00
  10012.|       47.79|        0.00|        0.00|        0.00|        0.00|        0.00
Condition-4
Node    |    F_X(t)  |    F_Y(t)  |    F_Z(t)  |    M_X(t.m)|    M_Y(t.m)|    M_Z(t.m)
    501.|       -0.93|       12.67|       64.08|        0.00|        0.00|        0.00
    603.|      -32.01|      161.90|       66.97|        0.00|        0.00|        0.00
    275.|      -44.23|       83.85|       -0.07|        0.00|        0.00|        0.00
    199.|      -28.02|     -101.85|        0.26|        0.00|        0.00|        0.00
    100.|        1.13|     -132.32|      161.14|        0.00|        0.00|        0.00
      1.|       -1.31|     -129.63|      157.85|        0.00|        0.00|        0.00
    150.|       94.80|        0.00|        0.00|        0.00|        0.00|        0.00
    120.|     -105.63|        0.00|        0.00|        0.00|        0.00|        0.00
     80.|     -207.66|        0.00|        0.00|        0.00|        0.00|        0.00
     30.|     -203.44|        0.00|        0.00|        0.00|        0.00|        0.00
  10001.|       16.35|        0.00|        0.00|        0.00|        0.00|        0.00
  10002.|       -5.70|        0.00|        0.00|        0.00|        0.00|        0.00
  10003.|        1.84|        0.00|        0.00|        0.00|        0.00|        0.00
  10004.|       -2.35|        0.00|        0.00|        0.00|        0.00|        0.00
  10005.|        1.09|        0.00|        0.00|        0.00|        0.00|        0.00
  10006.|      -13.45|        0.00|        0.00|        0.00|        0.00|        0.00
  10007.|      183.63|        0.00|        0.00|        0.00|        0.00|        0.00
  10008.|        0.00|        0.00|        0.00|        0.00|        0.00|        0.00
  10009.|      143.21|        0.00|        0.00|        0.00|        0.00|        0.00
  10010.|       25.97|        0.00|        0.00|        0.00|        0.00|        0.00
  10011.|       86.60|        0.00|        0.00|        0.00|        0.00|        0.00
