-----REACTION-SOLUTIONS-----
Condition-1
Node    |    F_X(t)  |    F_Y(t)  |    F_Z(t)  |    M_X(t.m)|    M_Y(t.m)|    M_Z(t.m)
  10012.|       24.75|        0.00|        0.00|        0.00|        0.00|        0.00
Condition-5
Node    |    F_X(t)  |    F_Y(t)  |    F_Z(t)  |    M_X(t.m)|    M_Y(t.m)|    M_Z(t.m)
    501.|       15.04|       78.97|       64.85|        0.00|        0.00|        0.00
    603.|      -13.17|       73.45|       65.89|        0.00|        0.00|        0.00
    275.|        5.92|      -11.07|        0.12|        0.00|        0.00|        0.00
    199.|       -7.79|      -28.37|        0.34|        0.00|        0.00|        0.00
    100.|        0.94|     -131.70|      160.37|        0.00|        0.00|        0.00
      1.|       -0.94|     -130.27|      158.67|        0.00|        0.00|        0.00
    150.|      -12.56|        0.00|        0.00|        0.00|        0.00|        0.00
    120.|      -29.42|        0.00|        0.00|        0.00|        0.00|        0.00
     80.|     -206.67|        0.00|        0.00|        0.00|        0.00|        0.00
     30.|     -204.47|        0.00|        0.00|        0.00|        0.00|        0.00
  10001.|        8.99|        0.00|        0.00|        0.00|        0.00|        0.00
  10002.|       -7.36|        0.00|        0.00|        0.00|        0.00|        0.00
  10003.|        1.22|        0.00|        0.00|        0.00|        0.00|        0.00
  10004.|       -2.06|        0.00|        0.00|        0.00|        0.00|        0.00
  10005.|        0.80|        0.00|        0.00|        0.00|        0.00|        0.00
  10006.|      -11.70|        0.00|        0.00|        0.00|        0.00|        0.00
  10007.|      125.90|        0.00|        0.00|        0.00|        0.00|        0.00
  10008.|        0.00|        0.00|        0.00|        0.00|        0.00|        0.00
  10009.|      128.08|        0.00|        0.00|        0.00|        0.00|        0.00
  10010.|       42.93|        0.00|        0.00|        0.00|        0.00|        0.00
  10011.|       28.04|        0.00|        0.00|        0.00|        0.00|        0.00
  10012.|        0.07|        0.00|        0.00|        0.00|        0.00|        0.00
Condition-6
Node    |    F_X(t)  |    F_Y(t)  |    F_Z(t)  |    M_X(t.m)|    M_Y(t.m)|    M_Z(t.m)
    501.|       33.29|      196.80|       65.75|        0.00|        0.00|        0.00
    603.|        2.84|       39.47|       65.05|        0.00|        0.00|        0.00
    275.|       59.82|     -113.09|        0.12|        0.00|        0.00|        0.00
    199.|        9.24|       33.42|        0.31|        0.00|        0.00|        0.00
    100.|        1.10|     -131.20|      159.74|        0.00|        0.00|        0.00
      1.|       -0.92|     -130.77|      159.28|        0.00|        0.00|        0.00
    150.|     -127.94|        0.00|        0.00|        0.00|        0.00|        0.00
    120.|       34.67|        0.00|        0.00|        0.00|        0.00|        0.00
     80.|     -205.87|        0.00|        0.00|        0.00|        0.00|        0.00
     30.|     -205.26|        0.00|        0.00|        0.00|        0.00|        0.00
  10001.|        5.51|        0.00|        0.00|        0.00|        0.00|        0.00
  10002.|      -12.28|        0.00|        0.00|        0.00|        0.00|        0.00
  10003.|        1.75|        0.00|        0.00|        0.00|        0.00|        0.00
  10004.|       -2.11|        0.00|        0.00|        0.00|        0.00|        0.00
  10005.|        1.00|        0.00|        0.00|        0.00|        0.00|        0.00
  10006.|      -12.37|        0.00|        0.00|        0.00|        0.00|        0.00
  10007.|      190.06|        0.00|        0.00|        0.00|        0.00|        0.00
  10008.|        0.00|        0.00|        0.00|        0.00|        0.00|        0.00
  10009.|      134.76|        0.00|        0.00|        0.00|        0.00|        0.00
  10010.|       36.46|        0.00|        0.00|        0.00|        0.00|        0.00
  10011.|      101.06|        0.00|        0.00|        0.00|        0.00|        0.00
  10012.|        8.37|        0.00|        0.00|        0.00|        0.00|        0.00
Condition-7
Node    |    F_X(t)  |    F_Y(t)  |    F_Z(t)  |    M_X(t.m)|    M_Y(t.m)|    M_Z(t.m)
    501.|       39.42|      286.75|       66.15|        0.00|        0.00|        0.00
    603.|       10.95|       64.69|       64.70|        0.00|        0.00|        0.00
    275.|       80.83|     -152.92|        0.11|        0.00|        0.00|        0.00
    199.|       17.53|       63.45|        0.28|        0.00|        0.00|        0.00
    100.|        1.15|     -130.99|      159.46|        0.00|        0.00|        0.00
      1.|       -0.90|     -130.98|      159.53|        0.00|        0.00|        0.00
    150.|     -172.97|        0.00|        0.00|        0.00|        0.00|        0.00
    120.|       65.82|        0.00|        0.00|        0.00|        0.00|        0.00
     80.|     -205.51|        0.00|        0.00|        0.00|        0.00|        0.00
     30.|     -205.59|        0.00|        0.00|        0.00|        0.00|        0.00
  10001.|        4.18|        0.00|        0.00|        0.00|        0.00|        0.00
  10002.|      -14.42|        0.00|        0.00|        0.00|        0.00|        0.00
  10003.|        2.02|        0.00|        0.00|        0.00|        0.00|        0.00
  10004.|       -2.24|        0.00|        0.00|        0.00|        0.00|        0.00
  10005.|        1.11|        0.00|        0.00|        0.00|        0.00|        0.00
  10006.|      -12.61|        0.00|        0.00|        0.00|        0.00|        0.00
  10007.|      218.27|        0.00|        0.00|        0.00|        0.00|        0.00
  10008.|        0.00|        0.00|        0.00|        0.00|        0.00|        0.00
  10009.|      136.87|        0.00|        0.00|        0.00|        0.00|        0.00
  10010.|       34.06|        0.00|        0.00|        0.00|        0.00|        0.00
  10011.|      130.05|        0.00|        0.00|        0.00|        0.00|        0.00
  10012.|       21.60|        0.00|        0.00|        0.00|        0.00|        0.00
Condition-8
Node    |    F_X(t)  |    F_Y(t)  |    F_Z(t)  |    M_X(t.m)|    M_Y(t.m)|    M_Z(t.m)
    501.|       30.29|      296.01|       65.83|        0.00|        0.00|        0.00
    603.|        5.98|      134.02|       65.07|        0.00|        0.00|        0.00
    275.|       56.59|     -107.13|        0.09|        0.00|        0.00|        0.00
    199.|       12.33|       44.44|        0.28|        0.00|        0.00|        0.00
    100.|        1.06|     -131.19|      159.69|        0.00|        0.00|        0.00
      1.|       -0.88|     -130.78|      159.27|        0.00|        0.00|        0.00
    150.|     -121.15|        0.00|        0.00|        0.00|        0.00|        0.00
    120.|       46.12|        0.00|        0.00|        0.00|        0.00|        0.00
     80.|     -205.82|        0.00|        0.00|        0.00|        0.00|        0.00
     30.|     -205.26|        0.00|        0.00|        0.00|        0.00|        0.00
  10001.|        5.26|        0.00|        0.00|        0.00|        0.00|        0.00
  10002.|      -12.20|        0.00|        0.00|        0.00|        0.00|        0.00
  10003.|        1.82|        0.00|        0.00|        0.00|        0.00|        0.00
  10004.|       -2.58|        0.00|        0.00|        0.00|        0.00|        0.00
  10005.|        1.06|        0.00|        0.00|        0.00|        0.00|        0.00
  10006.|      -12.59|        0.00|        0.00|        0.00|        0.00|        0.00
  10007.|      195.19|        0.00|        0.00|        0.00|        0.00|        0.00
  10008.|        0.00|        0.00|        0.00|        0.00|        0.00|        0.00
  10009.|      132.80|        0.00|        0.00|        0.00|        0.00|        0.00
  10010.|       38.39|        0.00|        0.00|        0.00|        0.00|        0.00
  10011.|       94.93|        0.00|        0.00|        0.00|        0.00|        0.00
  10012.|       11.07|        0.00|        0.00|        0.00|        0.00|        0.00
-----MAX-MIN-SOLUTIONS-----
F_MAX
Node    |    F_X(t)  |    F_Y(t)  |    F_Z(t)  |    M_X(t.m)|    M_Y(t.m)|    M_Z(t.m)
    501.|       39.42|      296.01|       66.15|        0.00|        0.00|        0.00
    603.|       10.95|      256.45|       67.43|        0.00|        0.00|        0.00
    275.|       80.83|      125.56|        0.12|        0.00|        0.00|        0.00
    199.|       17.53|       63.45|        0.34|        0.00|        0.00|        0.00
    100.|        1.19|     -130.99|      161.44|        0.00|        0.00|        0.00
      1.|       -0.88|     -129.37|      159.53|        0.00|        0.00|        0.00
    150.|      141.98|        0.00|        0.00|        0.00|        0.00|        0.00
    120.|       65.82|        0.00|        0.00|        0.00|        0.00|        0.00
     80.|     -205.51|        0.00|        0.00|        0.00|        0.00|        0.00
     30.|     -203.01|        0.00|        0.00|        0.00|        0.00|        0.00
  10001.|       19.38|        0.00|        0.00|        0.00|        0.00|        0.00
  10002.|       -5.10|        0.00|        0.00|        0.00|        0.00|        0.00
  10003.|        2.12|        0.00|        0.00|        0.00|        0.00|        0.00
  10004.|       -2.06|        0.00|        0.00|        0.00|        0.00|        0.00
  10005.|        1.24|        0.00|        0.00|        0.00|        0.00|        0.00
  10006.|      -11.70|        0.00|        0.00|        0.00|        0.00|        0.00
  10007.|      218.27|        0.00|        0.00|        0.00|        0.00|        0.00
  10008.|        0.00|        0.00|        0.00|        0.00|        0.00|        0.00
  10009.|      149.20|        0.00|        0.00|        0.00|        0.00|        0.00
  10010.|       45.76|        0.00|        0.00|        0.00|        0.00|        0.00
  10011.|      130.05|        0.00|        0.00|        0.00|        0.00|        0.00
  10012.|       47.79|        0.00|        0.00|        0.00|        0.00|        0.00
F_MIN
Node    |    F_X(t)  |    F_Y(t)  |    F_Z(t)  |    M_X(t.m)|    M_Y(t.m)|    M_Z(t.m)
    501.|       -8.97|       12.67|       63.79|        0.00|        0.00|        0.00
    603.|      -38.32|       39.47|       64.70|        0.00|        0.00|        0.00
    275.|      -66.29|     -152.92|       -0.15|        0.00|        0.00|        0.00
    199.|      -35.15|     -127.83|        0.21|        0.00|        0.00|        0.00
    100.|        0.88|     -132.57|      159.46|        0.00|        0.00|        0.00
      1.|       -1.45|     -130.98|      157.51|        0.00|        0.00|        0.00
    150.|     -172.97|        0.00|        0.00|        0.00|        0.00|        0.00
    120.|     -132.57|        0.00|        0.00|        0.00|        0.00|        0.00
     80.|     -208.05|        0.00|        0.00|        0.00|        0.00|        0.00
     30.|     -205.59|        0.00|        0.00|        0.00|        0.00|        0.00
  10001.|        4.18|        0.00|        0.00|        0.00|        0.00|        0.00
  10002.|      -14.42|        0.00|        0.00|        0.00|        0.00|        0.00
  10003.|        1.22|        0.00|        0.00|        0.00|        0.00|        0.00
  10004.|       -2.92|        0.00|        0.00|        0.00|        0.00|        0.00
  10005.|        0.80|        0.00|        0.00|        0.00|        0.00|        0.00
  10006.|      -14.14|        0.00|        0.00|        0.00|        0.00|        0.00
  10007.|      125.90|        0.00|        0.00|        0.00|        0.00|        0.00
  10008.|        0.00|        0.00|        0.00|        0.00|        0.00|        0.00
  10009.|      125.30|        0.00|        0.00|        0.00|        0.00|        0.00
  10010.|       19.62|        0.00|        0.00|        0.00|        0.00|        0.00
  10011.|       24.07|        0.00|        0.00|        0.00|        0.00|        0.00
  10012.|        0.02|        0.00|        0.00|        0.00|        0.00|        0.00
F_ABS
Node    |    F_X(t)  |    F_Y(t)  |    F_Z(t)  |    M_X(t.m)|    M_Y(t.m)|    M_Z(t.m)
    501.|       39.42|      296.01|       66.15|        0.00|        0.00|        0.00
    603.|       38.32|      256.45|       67.43|        0.00|        0.00|        0.00
    275.|       80.83|      152.92|        0.15|        0.00|        0.00|        0.00
    199.|       35.15|      127.83|        0.34|        0.00|        0.00|        0.00
    100.|        1.19|      132.57|      161.44|        0.00|        0.00|        0.00
      1.|        1.45|      130.98|      159.53|        0.00|        0.00|        0.00
    150.|      172.97|        0.00|        0.00|        0.00|        0.00|        0.00
    120.|      132.57|        0.00|        0.00|        0.00|        0.00|        0.00
     80.|      208.05|        0.00|        0.00|        0.00|        0.00|        0.00
     30.|      205.59|        0.00|        0.00|        0.00|        0.00|        0.00
  10001.|       19.38|        0.00|        0.00|        0.00|        0.00|        0.00
  10002.|       14.42|        0.00|        0.00|        0.00|        0.00|        0.00
  10003.|        2.12|        0.00|        0.00|        0.00|        0.00|        0.00
  10004.|        2.92|        0.00|        0.00|        0.00|        0.00|        0.00
  10005.|        1.24|        0.00|        0.00|        0.00|        0.00|        0.00
  10006.|       14.14|        0.00|        0.00|        0.00|        0.00|        0.00
  10007.|      218.27|        0.00|        0.00|        0.00|        0.00|        0.00
  10008.|        0.00|        0.00|        0.00|        0.00|        0.00|        0.00
  10009.|      149.20|        0.00|        0.00|        0.00|        0.00|        0.00
  10010.|       45.76|        0.00|        0.00|        0.00|        0.00|        0.00
  10011.|      130.05|        0.00|        0.00|        0.00|        0.00|        0.00
  10012.|       47.79|        0.00|        0.00|        0.00|        0.00|        0.00
-----------END--------------
